Date,Place,RaceNum,Horse,Type,Status,Odds,Prob,EV,Bet,Payout,Result,Balance
2023-01-05,中京,8,3.0,Single,BET,237.8,0.9,2.04,100,0,LOSE,99900
2023-01-05,中京,2,12.0,Single,BET,331.6,0.7,2.18,100,0,LOSE,99800
2023-01-05,中山,12,6.0,Single,BET,225.2,1.6,3.66,100,0,LOSE,99700
2023-01-05,中山,4,9.0,Single,BET,325.6,0.6,2.07,100,0,LOSE,99600
2023-01-05,中京,4,5.0,Single,BET,305.1,0.8,2.32,100,0,LOSE,99500
2023-01-05,中山,8,6.0,Single,BET,142.5,1.7,2.41,100,0,LOSE,99400
2023-01-05,中山,8,12.0,Single,BET,314.2,0.8,2.53,100,0,LOSE,99300
2023-01-05,中山,1,4.0,Single,BET,348.9,0.6,2.11,100,0,LOSE,99200
2023-01-05,中山,1,8.0,Single,BET,391.7,0.5,2.13,100,0,LOSE,99100
2023-01-05,中山,9,10.0,Single,BET,122.5,2.2,2.66,100,0,LOSE,99000
2023-01-05,中山,9,6.0,Single,BET,257.7,0.8,2.06,100,0,LOSE,98900
2023-01-05,中山,2,9.0,Single,BET,420.9,0.6,2.57,100,0,LOSE,98800
2023-01-05,中京,7,7.0,Single,BET,89.9,2.3,2.11,100,8990,WIN,107690
2023-01-07,中山,10,13.0,Single,BET,372.4,0.6,2.35,100,0,LOSE,107590
2023-01-07,中京,12,11.0,Single,BET,212.3,0.9,2.0,100,0,LOSE,107490
2023-01-07,中山,12,2.0,Single,BET,192.4,1.1,2.08,100,0,LOSE,107390
2023-01-07,中山,7,10.0,Single,BET,504.2,0.6,2.88,100,0,LOSE,107290
2023-01-07,中山,2,11.0,Single,BET,311.6,0.7,2.04,100,0,LOSE,107190
2023-01-07,中山,6,9.0,Single,BET,508.4,1.2,6.24,100,0,LOSE,107090
2023-01-07,中山,6,4.0,Single,BET,392.5,0.7,2.64,100,0,LOSE,106990
2023-01-07,中山,6,10.0,Single,BET,531.0,0.5,2.89,100,0,LOSE,106890
2023-01-07,中京,2,4.0,Single,BET,505.2,0.6,3.2,100,0,LOSE,106790
2023-01-07,中京,2,7.0,Single,BET,607.1,0.6,3.52,100,0,LOSE,106690
2023-01-07,中京,2,12.0,Single,BET,619.4,0.6,3.57,100,0,LOSE,106590
2023-01-07,中山,8,7.0,Single,BET,26.4,8.3,2.2,100,0,LOSE,106490
2023-01-07,中山,8,2.0,Single,BET,38.7,7.6,2.95,100,0,LOSE,106390
2023-01-07,中山,8,6.0,Single,BET,76.6,5.8,4.43,100,0,LOSE,106290
2023-01-07,中山,8,4.0,Single,BET,54.0,5.5,2.97,100,0,LOSE,106190
2023-01-07,中京,5,3.0,Single,BET,499.9,2.1,10.3,100,0,LOSE,106090
2023-01-07,中京,5,5.0,Single,BET,395.6,0.6,2.46,100,0,LOSE,105990
2023-01-07,中京,5,9.0,Single,BET,432.8,0.6,2.39,100,0,LOSE,105890
2023-01-07,中京,3,5.0,Single,BET,407.0,0.6,2.52,100,0,LOSE,105790
2023-01-07,中京,7,7.0,Single,BET,170.0,5.3,9.03,100,0,LOSE,105690
2023-01-07,中京,7,12.0,Single,BET,340.2,0.8,2.83,100,0,LOSE,105590
2023-01-07,中京,9,8.0,Single,BET,485.8,0.6,3.08,100,0,LOSE,105490
2023-01-07,中京,6,9.0,Single,BET,380.2,0.6,2.4,100,0,LOSE,105390
2023-01-07,中山,1,3.0,Single,BET,252.8,1.1,2.85,100,0,LOSE,105290
2023-01-07,中山,1,13.0,Single,BET,267.4,0.8,2.06,100,0,LOSE,105190
2023-01-07,中山,1,14.0,Single,BET,427.0,0.6,2.62,100,0,LOSE,105090
2023-01-07,中山,1,12.0,Single,BET,383.9,0.6,2.35,100,0,LOSE,104990
2023-01-07,中山,1,9.0,Single,BET,564.2,0.6,3.4,100,0,LOSE,104890
2023-01-07,中山,1,16.0,Single,BET,503.5,0.5,2.72,100,0,LOSE,104790
2023-01-08,中山,5,6.0,Single,BET,109.7,2.2,2.4,100,0,LOSE,104690
2023-01-08,中山,5,14.0,Single,BET,326.9,0.6,2.02,100,0,LOSE,104590
2023-01-08,中山,4,8.0,Single,BET,46.5,8.2,3.8,100,0,LOSE,104490
2023-01-08,中山,4,2.0,Single,BET,51.2,7.6,3.88,100,0,LOSE,104390
2023-01-08,中山,4,5.0,Single,BET,102.4,5.1,5.27,100,0,LOSE,104290
2023-01-08,中山,4,4.0,Single,BET,243.4,4.9,11.99,100,0,LOSE,104190
2023-01-08,中山,4,14.0,Single,BET,259.8,3.4,8.76,100,0,LOSE,104090
2023-01-08,中京,12,6.0,Single,BET,249.1,2.1,5.25,100,0,LOSE,103990
2023-01-08,中京,9,7.0,Single,BET,340.1,0.6,2.05,100,0,LOSE,103890
2023-01-08,中山,11,11.0,Single,BET,72.7,3.7,2.68,100,0,LOSE,103790
2023-01-08,中山,8,14.0,Single,BET,423.4,0.6,2.5,100,0,LOSE,103690
2023-01-08,中山,3,2.0,Single,BET,327.1,0.7,2.15,100,0,LOSE,103590
2023-01-08,中京,5,8.0,Single,BET,423.2,0.6,2.61,100,0,LOSE,103490
2023-01-08,中京,3,1.0,Single,BET,292.2,0.7,2.13,100,0,LOSE,103390
2023-01-08,中山,7,3.0,Single,BET,435.4,0.7,2.89,100,0,LOSE,103290
2023-01-08,中山,1,4.0,Single,BET,572.8,0.7,4.05,100,0,LOSE,103190
2023-01-08,中山,1,14.0,Single,BET,697.2,0.6,4.24,100,0,LOSE,103090
2023-01-09,中山,10,5.0,Single,BET,243.3,0.9,2.1,100,0,LOSE,102990
2023-01-09,中山,2,4.0,Single,BET,574.0,0.7,4.23,100,0,LOSE,102890
2023-01-09,中山,2,8.0,Single,BET,403.0,0.6,2.32,100,0,LOSE,102790
2023-01-09,中京,1,9.0,Single,BET,178.0,2.1,3.78,100,0,LOSE,102690
2023-01-09,中京,2,15.0,Single,BET,109.6,2.8,3.1,100,0,LOSE,102590
2023-01-09,中山,12,10.0,Single,BET,439.9,1.4,6.35,100,0,LOSE,102490
2023-01-09,中京,7,14.0,Single,BET,437.9,0.6,2.7,100,0,LOSE,102390
2023-01-09,中山,7,11.0,Single,BET,265.0,0.8,2.0,100,0,LOSE,102290
2023-01-09,中京,10,15.0,Single,BET,248.5,1.1,2.74,100,0,LOSE,102190
2023-01-09,中山,8,7.0,Single,BET,140.8,3.7,5.26,100,0,LOSE,102090
2023-01-09,中山,8,8.0,Single,BET,236.3,1.2,2.94,100,0,LOSE,101990
2023-01-09,中山,9,1.0,Single,BET,212.2,1.2,2.6,100,0,LOSE,101890
2023-01-09,中京,5,5.0,Single,BET,325.5,1.3,4.39,100,0,LOSE,101790
2023-01-09,中京,5,10.0,Single,BET,419.8,0.6,2.59,100,0,LOSE,101690
2023-01-09,中山,1,3.0,Single,BET,422.8,0.7,2.89,100,0,LOSE,101590
2023-01-09,中山,1,10.0,Single,BET,403.5,0.6,2.47,100,0,LOSE,101490
2023-01-14,中山,8,14.0,Single,BET,350.4,0.6,2.03,100,0,LOSE,101390
2023-01-14,中京,8,11.0,Single,BET,139.8,1.6,2.18,100,0,LOSE,101290
2023-01-14,小倉,10,15.0,Single,BET,85.1,2.5,2.14,100,0,LOSE,101190
2023-01-14,中京,5,12.0,Single,BET,416.7,0.6,2.44,100,0,LOSE,101090
2023-01-14,中山,6,4.0,Single,BET,310.5,0.7,2.17,100,0,LOSE,100990
2023-01-14,小倉,4,11.0,Single,BET,19.4,11.2,2.18,100,1939,WIN,102829
